date,datetime,open,high,low,close,volume
2024-08-14 16:00:00+00:00,2024-08-14 16:00:00+00:00,146.71,147.25,141.1,145.96,654937.681783
2024-08-15 16:00:00+00:00,2024-08-15 16:00:00+00:00,145.95,147.61,136.26,137.87,1070612.459724
2024-08-16 16:00:00+00:00,2024-08-16 16:00:00+00:00,137.89,141.9,136.1,140.19,494152.310836
2024-08-17 16:00:00+00:00,2024-08-17 16:00:00+00:00,140.19,147.36,140.13,145.8,425620.986306
2024-08-18 16:00:00+00:00,2024-08-18 16:00:00+00:00,145.78,147.06,140.34,143.87,408702.815722
2024-08-19 16:00:00+00:00,2024-08-19 16:00:00+00:00,143.87,148.87,140.9,142.14,664921.200002
2024-08-20 16:00:00+00:00,2024-08-20 16:00:00+00:00,142.15,144.51,138.81,140.37,423275.519799
2024-08-21 16:00:00+00:00,2024-08-21 16:00:00+00:00,140.37,144.85,139.68,142.61,435259.237316
2024-08-22 16:00:00+00:00,2024-08-22 16:00:00+00:00,142.62,147.16,142.42,144.38,396263.382353
2024-08-23 16:00:00+00:00,2024-08-23 16:00:00+00:00,144.4,159.79,144.08,159.46,653331.039571
2024-08-24 16:00:00+00:00,2024-08-24 16:00:00+00:00,159.47,162.43,155.25,159.36,620974.510833
2024-08-25 16:00:00+00:00,2024-08-25 16:00:00+00:00,159.37,162.0,155.96,157.63,525182.75574
2024-08-26 16:00:00+00:00,2024-08-26 16:00:00+00:00,157.61,159.7,152.68,153.78,540414.093026
2024-08-27 16:00:00+00:00,2024-08-27 16:00:00+00:00,153.77,155.54,142.75,144.14,804016.213993
2024-08-28 16:00:00+00:00,2024-08-28 16:00:00+00:00,144.13,147.33,140.53,146.1,599318.396559
2024-08-29 16:00:00+00:00,2024-08-29 16:00:00+00:00,146.08,146.8,132.52,133.31,819427.33044
2024-08-30 16:00:00+00:00,2024-08-30 16:00:00+00:00,133.32,139.27,132.06,136.62,413912.907211
2024-08-31 16:00:00+00:00,2024-08-31 16:00:00+00:00,136.63,136.69,130.0,134.27,468365.957714
2024-09-01 16:00:00+00:00,2024-09-01 16:00:00+00:00,134.28,136.14,126.91,132.52,752493.281584
2024-09-02 16:00:00+00:00,2024-09-02 16:00:00+00:00,132.52,137.56,129.3,129.81,581242.966672
2024-09-03 16:00:00+00:00,2024-09-03 16:00:00+00:00,129.81,134.13,122.5,133.8,841824.98625
2024-09-04 16:00:00+00:00,2024-09-04 16:00:00+00:00,133.78,135.62,130.13,130.62,499332.634822
2024-09-05 16:00:00+00:00,2024-09-05 16:00:00+00:00,130.6,134.29,126.8,128.08,692904.97647
2024-09-06 16:00:00+00:00,2024-09-06 16:00:00+00:00,128.08,129.48,120.5,128.83,842639.306389
2024-09-07 16:00:00+00:00,2024-09-07 16:00:00+00:00,128.82,130.97,126.28,126.75,446195.490766
2024-09-08 16:00:00+00:00,2024-09-08 16:00:00+00:00,126.74,131.72,126.64,128.39,658521.261828
2024-09-09 16:00:00+00:00,2024-09-09 16:00:00+00:00,128.4,137.1,128.27,134.12,719679.852224
2024-09-10 16:00:00+00:00,2024-09-10 16:00:00+00:00,134.12,137.99,128.19,131.17,688295.720759
2024-09-11 16:00:00+00:00,2024-09-11 16:00:00+00:00,131.16,136.76,131.07,133.54,457322.471916
2024-09-12 16:00:00+00:00,2024-09-12 16:00:00+00:00,133.54,136.73,131.7,136.57,375265.086152
2024-09-13 16:00:00+00:00,2024-09-13 16:00:00+00:00,136.59,139.86,135.96,137.37,425676.966815
2024-09-14 16:00:00+00:00,2024-09-14 16:00:00+00:00,137.37,137.93,134.64,135.75,235259.059483
2024-09-15 16:00:00+00:00,2024-09-15 16:00:00+00:00,135.75,135.81,129.22,131.47,448593.986825
2024-09-16 16:00:00+00:00,2024-09-16 16:00:00+00:00,131.47,135.56,128.94,134.65,410454.611847
2024-09-17 16:00:00+00:00,2024-09-17 16:00:00+00:00,134.65,134.93,127.11,127.66,452222.034725
2024-09-18 16:00:00+00:00,2024-09-18 16:00:00+00:00,127.67,143.03,127.26,142.98,920097.937231
2024-09-19 16:00:00+00:00,2024-09-19 16:00:00+00:00,142.97,152.46,141.04,147.85,1111538.498396
2024-09-20 16:00:00+00:00,2024-09-20 16:00:00+00:00,147.86,149.46,144.64,147.61,301818.032717
2024-09-21 16:00:00+00:00,2024-09-21 16:00:00+00:00,147.62,149.98,142.62,143.18,301775.739099
2024-09-22 16:00:00+00:00,2024-09-22 16:00:00+00:00,143.13,149.04,141.12,144.24,497449.940889
2024-09-23 16:00:00+00:00,2024-09-23 16:00:00+00:00,144.21,148.8,142.42,145.52,565147.688424
2024-09-24 16:00:00+00:00,2024-09-24 16:00:00+00:00,145.53,153.97,145.29,150.45,1256980.786662
2024-09-25 16:00:00+00:00,2024-09-25 16:00:00+00:00,150.45,158.09,146.56,157.1,835758.590494
2024-09-26 16:00:00+00:00,2024-09-26 16:00:00+00:00,157.11,161.49,153.84,159.03,814327.805851
2024-09-27 16:00:00+00:00,2024-09-27 16:00:00+00:00,159.03,159.64,155.0,156.87,381653.733854
2024-09-28 16:00:00+00:00,2024-09-28 16:00:00+00:00,156.87,158.55,155.11,157.27,288950.618474
2024-09-29 16:00:00+00:00,2024-09-29 16:00:00+00:00,157.27,161.77,153.76,154.18,577423.50869
2024-09-30 16:00:00+00:00,2024-09-30 16:00:00+00:00,154.2,157.35,146.2,149.61,649233.877432
2024-10-01 16:00:00+00:00,2024-10-01 16:00:00+00:00,149.61,150.02,142.21,147.48,886503.944887
2024-10-02 16:00:00+00:00,2024-10-02 16:00:00+00:00,147.46,148.44,133.05,135.59,855185.826964
2024-10-03 16:00:00+00:00,2024-10-03 16:00:00+00:00,135.6,142.66,133.65,142.44,595040.053244
2024-10-04 16:00:00+00:00,2024-10-04 16:00:00+00:00,142.45,144.92,141.57,142.9,322817.541406
2024-10-05 16:00:00+00:00,2024-10-05 16:00:00+00:00,142.91,146.84,141.07,145.98,309430.732846
2024-10-06 16:00:00+00:00,2024-10-06 16:00:00+00:00,145.98,152.28,144.31,148.71,526749.354832
2024-10-07 16:00:00+00:00,2024-10-07 16:00:00+00:00,148.71,149.45,141.16,142.81,504220.432523
2024-10-08 16:00:00+00:00,2024-10-08 16:00:00+00:00,142.8,145.34,140.17,142.81,369434.811371
2024-10-09 16:00:00+00:00,2024-10-09 16:00:00+00:00,142.82,142.88,136.11,138.65,412451.268414
2024-10-10 16:00:00+00:00,2024-10-10 16:00:00+00:00,138.66,145.55,135.51,144.38,460064.574664
2024-10-11 16:00:00+00:00,2024-10-11 16:00:00+00:00,144.39,147.29,143.94,146.11,283194.775718
2024-10-12 16:00:00+00:00,2024-10-12 16:00:00+00:00,146.11,148.38,144.46,145.34,244006.246097
2024-10-13 16:00:00+00:00,2024-10-13 16:00:00+00:00,145.34,158.1,144.7,156.73,662320.431759
2024-10-14 16:00:00+00:00,2024-10-14 16:00:00+00:00,156.72,159.64,150.25,153.31,810225.400663
2024-10-15 16:00:00+00:00,2024-10-15 16:00:00+00:00,153.31,158.4,152.21,155.72,639626.936738
2024-10-16 16:00:00+00:00,2024-10-16 16:00:00+00:00,155.73,155.98,150.84,152.9,477297.454076
2024-10-17 16:00:00+00:00,2024-10-17 16:00:00+00:00,152.89,155.28,147.7,154.72,476235.608954
2024-10-18 16:00:00+00:00,2024-10-18 16:00:00+00:00,154.73,157.5,153.6,156.47,285715.445013
2024-10-19 16:00:00+00:00,2024-10-19 16:00:00+00:00,156.48,161.51,155.3,160.03,497833.937491
2024-10-20 16:00:00+00:00,2024-10-20 16:00:00+00:00,160.04,171.72,159.34,165.26,1261873.170904
2024-10-21 16:00:00+00:00,2024-10-21 16:00:00+00:00,165.27,170.96,163.0,167.79,848035.116584
2024-10-22 16:00:00+00:00,2024-10-22 16:00:00+00:00,167.78,169.46,164.14,168.13,668956.790203
2024-10-23 16:00:00+00:00,2024-10-23 16:00:00+00:00,168.12,177.18,164.71,175.42,1062027.029096
2024-10-24 16:00:00+00:00,2024-10-24 16:00:00+00:00,175.44,179.3,170.83,172.48,731266.779592
2024-10-25 16:00:00+00:00,2024-10-25 16:00:00+00:00,172.46,173.04,158.96,168.64,1200089.411559
2024-10-26 16:00:00+00:00,2024-10-26 16:00:00+00:00,168.65,177.06,168.34,175.77,472431.481839
